Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Brown Black,Female,Open Class,3,Marcela Macedo,The Avengers
Pan Jiu-Jitsu No-Gi IBJJF Championship,2011,Adult,Brown Black,Female,Open Class,3,Abby Brooke Malone,Nova Uniao
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Light-Feather,1,Henrique Rezende Costa e Silva,Alliance
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Feather,1,Osvaldo Augusto Honorio Moizinho,Gracie Fighter
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Light,1,Lucas Alves Lepri,Alliance
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Middle,1,Vinícius Tavares Marinho,GF Team
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Medium-Heavy,1,Kleber de Oliveira Paulino,Gracie Barra
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Heavy,1,Roberto Camargo de Alencar,Gracie Barra
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Super-Heavy,1,Diego Gamonal Nogueira,Brazilian Top Team
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Ultra-Heavy,1,Diego Pereira de Santana,Academia DF
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Open Class,1,Pablo Popovitch,The Avengers
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Light-Feather,2,Laercio Fernandes,Lotus Club Jiu-Jitsu
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Feather,2,Samir José Chantre Dahás,Gracie Fighter
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Light,2,Renan Borges,Brazilian Top Team
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Middle,2,Francisco Daniel Pires Tavares,SAS Team
Pan IBJJF Jiu-Jitsu No-Gi Championship ,2012,Adult,Black,Male,Medium-Heavy,2,Ezra Zendt Lenon,American Top Team
