Tournament,Year,Age,Belt,Gender,Weight Class,Placing,Competitor Name,Academy Name
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Ultra-Heavy,3,Moises da Silva Flores Júnior,De La Riva JJ
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Open Class,3,Filipe Meirelles Bobrick,Alliance
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Male,Open Class,3,Manoel Fernandes de Oliveira Neto,GF Team
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Female,Feather,1,Elizangela Meireles,Equipe Gavião JJ
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Female,Medium-Heavy,1,Maria do Carmo Paixão Teixeira,De La Riva JJ
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Female,Heavy,1,Talita Andrea Nogueira,Ryan Gracie Team B
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Female,Open Class,1,Talita Andrea Nogueira,Ryan Gracie Team B
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Female,Open Class,2,Elizangela Meireles,Equipe Gavião JJ
Campeonato Brasileiro Sem Kimono ,2012,Adult,Black,Female,Open Class,3,Maria do Carmo Paixão Teixeira,De La Riva JJ
Campeonato Brasileiro de Jiu-Jitsu Sem Kimono ,2013,Adult,Black,Male,Rooster,1,Raul Gomes Marcello,Ribeiro Jiu-Jitsu
Campeonato Brasileiro de Jiu-Jitsu Sem Kimono ,2013,Adult,Black,Male,Light-Feather,1,Douglas Rufino da Silva,CheckMat
Campeonato Brasileiro de Jiu-Jitsu Sem Kimono ,2013,Adult,Black,Male,Feather,1,José Tiago da Silva Barros,PSLPB Cicero Costha
Campeonato Brasileiro de Jiu-Jitsu Sem Kimono ,2013,Adult,Black,Male,Light,1,AJ Agazarm,Gracie Barra
Campeonato Brasileiro de Jiu-Jitsu Sem Kimono ,2013,Adult,Black,Male,Middle,1,Vinícius Tavares Marinho,GF Team
Campeonato Brasileiro de Jiu-Jitsu Sem Kimono ,2013,Adult,Black,Male,Medium-Heavy,1,Claudio de Mattos Cardoso,Gracie Barra
Campeonato Brasileiro de Jiu-Jitsu Sem Kimono ,2013,Adult,Black,Male,Heavy,1,Luiz Fernando de Azevedo Panza,BARBOSA JIU-JITSU USA
Campeonato Brasileiro de Jiu-Jitsu Sem Kimono ,2013,Adult,Black,Male,Super-Heavy,1,Salomão Diego Silva Ribeiro,Alliance
